Специальность/Направление;Бюджетные места;Места по договорам;Вступительные испытания
Фундаментальные математика и механика (Математика);250;50;Математика (ДВИ, письменно) (1), Математика (ЕГЭ) (2), Физика (ЕГЭ) (3), Русский язык (ЕГЭ) (4)
Фундаментальные математика и механика (Механика);100;20;Математика (ДВИ, письменно) (1), Математика (ЕГЭ) (2), Физика (ЕГЭ) (3), Русский язык (ЕГЭ) (4)
Фундаментальные математика и механика (Фундаментальная математика и математическая физика);40;10;Математика (ДВИ, письменно) (1), Математика (ЕГЭ) (2), Физика (ЕГЭ) (3), Русский язык (ЕГЭ) (4)
Прикладная математика и информатика;312;120;Математика (ДВИ, письменно) (1), Математика (ЕГЭ) (2), Физика (ЕГЭ) (3), Информатика (ЕГЭ) (4), Русский язык (ЕГЭ) (5)
Фундаментальная информатика и информационные технологии;19;3;Математика (ДВИ, письменно) (1), Математика (ЕГЭ) (2), Физика (ЕГЭ) (3), Информатика (ЕГЭ) (4), Русский язык (ЕГЭ) (5)
Фундаментальная и прикладная физика;347;75;Физика (ДВИ, письменно) (1), Физика (ЕГЭ) (2), Математика (ЕГЭ) или Информатика (ЕГЭ) (один по выбору поступающего) (3), Русский язык (ЕГЭ) (4)
Астрономия;20;10;Физика (ДВИ, письменно) (1), Физика (ЕГЭ) (2), Математика (ЕГЭ) (3), Русский язык (ЕГЭ) (4)
Фундаментальная и прикладная химия;215;60;Химия (ДВИ, письменно) (1), Химия (ЕГЭ) (2), Математика (ЕГЭ) (3), Физика (ЕГЭ) или Биология (ЕГЭ) (один по выбору поступающего) (4), Русский язык (ЕГЭ) (5)
Фундаментальная и прикладная биология;155;60;Биология (ДВИ, письменно) (1), Биология (ЕГЭ) (2), Математика (ЕГЭ) (3), Химия (ЕГЭ) (4), Русский язык (ЕГЭ) (5)
Экология и природопользование;16;5;Биология (ДВИ, письменно) (1), Биология (ЕГЭ) (2), Математика (ЕГЭ) (3), Химия (ЕГЭ) (4), Русский язык (ЕГЭ) (5)
